DATE_OF_LOGIN,WEIGHTKG,ID,ACTIVITYDATE,TOTALSTEPS,TOTALDISTANCE,VERYACTIVEMINUTES,SEDENTARYMINUTES,CALORIES
3/30/2016 11:59:59 PM,61.5,6962181067,2016-03-30,15491,10.23999977,18,641,2244
3/31/2016 11:59:59 PM,61.5,6962181067,2016-03-31,14097,9.319999695,50,595,2188
4/1/2016 11:59:59 PM,60.90000153,6962181067,2016-04-01,10467,6.980000019,9,602,2014
4/2/2016 11:59:59 PM,61.20000076,6962181067,2016-04-02,12437,8.300000191,50,732,2115
4/3/2016 11:59:59 PM,61.5,6962181067,2016-04-03,12307,8.140000343,14,589,2055
4/4/2016 11:59:59 PM,62.40000153,6962181067,2016-04-04,18952,12.80000019,73,570,2437
4/5/2016 11:59:59 PM,61.70000076,6962181067,2016-04-05,12010,7.940000057,38,692,2158
4/6/2016 11:59:59 PM,62.20000076,6962181067,2016-04-06,12480,8.859999657,55,593,2170
4/7/2016 11:59:59 PM,62.20000076,6962181067,2016-04-07,13417,9.649999619,45,665,2244
4/8/2016 11:59:59 PM,61.70000076,6962181067,2016-04-08,14400,10.88000011,27,697,2188
4/9/2016 11:59:59 PM,62.09999847,6962181067,2016-04-09,12495,8.260000229,33,609,2231
4/10/2016 11:59:59 PM,62.5,6962181067,2016-04-10,10148,6.710000038,19,679,2100
4/11/2016 11:59:59 PM,62.20000076,6962181067,2016-04-11,12362,9.090000153,21,678,2188
4/12/2016 11:59:59 PM,62.5,6962181067,2016-04-12,10199,6.739999771,50,796,1994
4/13/2016 11:59:59 PM,62.09999847,6962181067,2016-04-13,5652,3.74000001,8,548,1718
4/14/2016 11:59:59 PM,61.70000076,6962181067,2016-04-14,1551,1.029999971,0,862,1466
4/15/2016 11:59:59 PM,61.5,6962181067,2016-04-15,5563,3.680000067,0,837,1756
4/16/2016 11:59:59 PM,62,6962181067,2016-04-16,13217,8.739999771,50,741,2173
4/17/2016 11:59:59 PM,61.40000153,6962181067,2016-04-17,10145,6.710000038,5,634,2027
4/18/2016 11:59:59 PM,61.20000076,6962181067,2016-04-18,11404,7.539999962,13,689,2039
4/19/2016 11:59:59 PM,61.40000153,6962181067,2016-04-19,10742,7.099999905,35,659,2046
4/20/2016 11:59:59 PM,61.70000076,6962181067,2016-04-20,13928,9.550000191,48,639,2174
4/21/2016 11:59:59 PM,61.40000153,6962181067,2016-04-21,11835,9.710000038,53,708,2179
4/22/2016 11:59:59 PM,61.40000153,6962181067,2016-04-22,10725,7.090000153,30,659,2086
4/23/2016 11:59:59 PM,61.5,6962181067,2016-04-23,20031,13.23999977,58,484,2571
4/24/2016 11:59:59 PM,61.5,6962181067,2016-04-24,5029,3.319999933,0,720,1705
4/25/2016 11:59:59 PM,61.70000076,6962181067,2016-04-25,13239,9.270000458,35,637,2194
4/27/2016 11:59:59 PM,61.20000076,6962181067,2016-04-27,10320,6.820000172,7,697,2034
4/28/2016 11:59:59 PM,61.20000076,6962181067,2016-04-28,12627,8.350000381,38,621,2182
4/29/2016 11:59:59 PM,61.40000153,6962181067,2016-04-29,10762,7.110000134,12,645,2254
4/30/2016 11:59:59 PM,61,6962181067,2016-04-30,10081,6.659999847,32,731,2002
5/1/2016 11:59:59 PM,61.70000076,6962181067,2016-05-01,5454,3.609999895,0,722,1740
5/2/2016 11:59:59 PM,61.5,6962181067,2016-05-02,12912,8.539999962,18,655,2162
5/3/2016 11:59:59 PM,61,6962181067,2016-05-03,12109,8.119999886,21,654,2072
5/4/2016 11:59:59 PM,61.09999847,6962181067,2016-05-04,10147,6.710000038,15,683,2086
5/5/2016 11:59:59 PM,61.29999924,6962181067,2016-05-05,10524,6.960000038,14,591,2066
5/6/2016 11:59:59 PM,61.5,6962181067,2016-05-06,5908,3.910000086,0,717,1850
5/7/2016 11:59:59 PM,61.20000076,6962181067,2016-05-07,6815,4.5,0,745,1947
5/8/2016 11:59:59 PM,61.20000076,6962181067,2016-05-08,4188,2.769999981,0,709,1659
5/9/2016 11:59:59 PM,62.40000153,6962181067,2016-05-09,12342,8.720000267,43,607,2105
5/10/2016 11:59:59 PM,62.09999847,6962181067,2016-05-10,15448,10.21000004,62,626,2361
5/11/2016 11:59:59 PM,61.90000153,6962181067,2016-05-11,6722,4.440000057,24,709,1855
5/12/2016 11:59:59 PM,61.90000153,6962181067,2016-05-12,3587,2.369999886,0,127,928
